impl,M,T,workers,run_idx,wall_time_ms,checksum
jax,64,28712,1,0,4125.456233,473.30863190077
jax,64,28712,1,1,4130.035083,473.30863190077
jax,64,28712,1,2,4123.457614,473.30863190077
jax,64,28712,1,3,4129.660856,473.30863190077
jax,64,28712,1,4,4131.106189,473.30863190077
jax,256,28712,1,0,5747.273283,1894.92532490654
jax,256,28712,1,1,5750.966922,1894.92532490654
jax,256,28712,1,2,5760.369700,1894.92532490654
jax,256,28712,1,3,5753.231009,1894.92532490654
jax,256,28712,1,4,5757.095535,1894.92532490654
jax,1024,28712,1,0,12765.272421,7574.81257542253
jax,1024,28712,1,1,12760.082035,7574.81257542253
jax,1024,28712,1,2,12761.361350,7574.81257542253
jax,1024,28712,1,3,12779.663047,7574.81257542253
jax,1024,28712,1,4,12760.452052,7574.81257542253
jax,4096,28712,1,0,42502.471488,30305.3453203804
jax,4096,28712,1,1,42501.275850,30305.3453203804
jax,4096,28712,1,2,42500.879822,30305.3453203804
jax,4096,28712,1,3,42500.716660,30305.3453203804
jax,4096,28712,1,4,42498.694689,30305.3453203804
jax,16384,28712,1,0,163637.404686,121212.333816183
jax,16384,28712,1,1,163697.252203,121212.333816183
jax,16384,28712,1,2,163649.723613,121212.333816183
jax,16384,28712,1,3,163698.022503,121212.333816183
jax,16384,28712,1,4,163651.011003,121212.333816183
