impl,M,T,workers,run_idx,wall_time_ms,checksum
cuda,4096,28712,1,0,1532.946411,30488.5814954793
cuda,4096,28712,1,1,1535.139893,30488.5814954793
cuda,4096,28712,1,2,1537.177612,30488.5814954793
cuda,4096,28712,1,3,1537.205078,30488.5814954793
cuda,4096,28712,1,4,1533.423950,30488.5814954793
cuda,4096,28712,1,0,1978.892334,30488.5814954793
cuda,4096,28712,1,1,1977.637085,30488.5814954793
cuda,4096,28712,1,2,1977.074951,30488.5814954793
cuda,4096,28712,1,3,1983.079346,30488.5814954793
cuda,4096,28712,1,4,1980.838867,30488.5814954793
cuda,4096,28712,1,0,1984.143311,30488.5814954793
cuda,4096,28712,1,1,1984.285034,30488.5814954793
cuda,4096,28712,1,2,1984.305176,30488.5814954793
cuda,4096,28712,1,3,1984.195190,30488.5814954793
cuda,4096,28712,1,4,1984.199219,30488.5814954793
cuda,4096,28712,1,0,3948.521484,30488.5814954793
cuda,4096,28712,1,1,3948.555664,30488.5814954793
cuda,4096,28712,1,2,3948.473145,30488.5814954793
cuda,4096,28712,1,3,3948.551025,30488.5814954793
cuda,4096,28712,1,4,3948.520508,30488.5814954793
