m,checksum
0,7.5590554669590233
1,7.3024970746838376
2,7.4853646813775194
3,7.3779166148103084
4,7.3207726905121016
5,7.3651611818459015
6,7.4991341917257284
7,7.4677191635794102
8,7.4794423975278166
9,7.430899794940248
10,7.3728469569622259
11,7.4065875297413601
12,7.4415528699852613
13,7.407829747866157
14,7.5139317841227449
15,7.4836163274214327
16,7.4526989567511626
17,7.5300878973357692
18,7.3338141602509719
19,7.5357390878656014
20,7.4383545084427265
21,7.5302902345660163
22,7.2963199779293726
23,7.4005518520658775
24,7.3378966274913893
25,7.4839306831669044
26,7.4146985651835484
27,7.5109466723617357
28,7.4478796891809518
29,7.528032306722122
30,7.4894535797535102
31,7.4210857319739763
32,7.4720893114188707
33,7.4571355804906014
34,7.5585770445459035
35,7.4420481945462074
36,7.4398845608665543
37,7.4847383974753985
38,7.40634430810392
39,7.4387440646435925
40,7.4569647466123277
41,7.4503058082048845
42,7.4062426858781709
43,7.4649538044539705
44,7.459355754668735
45,7.4845553014245096
46,7.4717018702896301
47,7.3545477023692625
48,7.5103196453206831
49,7.3344594003520402
50,7.5090221685416019
51,7.3500369344566643
52,7.4785571524864078
53,7.4942870038682958
54,7.4247686820263077
55,7.3991655869958048
56,7.3993442183844653
57,7.2562710032993731
58,7.3938736229586288
59,7.5430488359427192
60,7.3623783327326668
61,7.5422408869344517
62,7.3853814666892514
63,7.431880349214433
64,7.4477762892964181
65,7.4424025801486291
66,7.3657042763192822
67,7.3024065605677944
68,7.414708447020919
69,7.4224673401748751
70,7.4970079943792358
71,7.3481995386182772
72,7.5247523058370414
73,7.5322949329109239
74,7.4813378862534234
75,7.4787849107976561
76,7.4801430670269102
77,7.3629222270635095
78,7.4797773602744639
79,7.4442884338625666
80,7.5125238788519244
81,7.4229875815932251
82,7.4332563250684176
83,7.3797732304908843
84,7.494964178169079
85,7.4589807450504519
86,7.4130029250001854
87,7.4813946107137363
88,7.4275972702700468
89,7.5626345461318802
90,7.5083521102793709
91,7.4551724741775791
92,7.4719908355834139
93,7.4313959633955928
94,7.4411412865333881
95,7.5023987444643314
96,7.4611344808853275
97,7.4144470938345552
98,7.5400711590008003
99,7.4398263981646338
100,7.364022005376186
101,7.4687093270766409
102,7.3588063796802325
103,7.4095474626916102
104,7.3897683470003903
105,7.3753421407049533
106,7.3682434014823031
107,7.3534485117052295
108,7.4561034484852051
109,7.4602551949066092
110,7.4515163896531424
111,7.3772761703226388
112,7.5315313832990443
113,7.5747690368212206
114,7.4089927809983687
115,7.4523046283140717
116,7.3776663708833246
117,7.3725332980881806
118,7.4637435071696601
119,7.4497146013570115
120,7.4053928245267473
121,7.4799739931092981
122,7.4203588727684613
123,7.4981468671031948
124,7.4097507542717089
125,7.5093342270259038
126,7.4396884542835791
127,7.4938284604099943
