impl,M,T,workers,run_idx,wall_time_ms,checksum
cuda,64,28712,1,0,1160.954834,476.129333431299
cuda,64,28712,1,1,1158.786499,476.129333431299
cuda,64,28712,1,2,1154.003174,476.129333431299
cuda,64,28712,1,3,1152.985596,476.129333431299
cuda,64,28712,1,4,1161.001465,476.129333431299
cuda,256,28712,1,0,1977.417725,1905.20205245405
cuda,256,28712,1,1,1977.655884,1905.20205245405
cuda,256,28712,1,2,1976.151367,1905.20205245405
cuda,256,28712,1,3,1980.059204,1905.20205245405
cuda,256,28712,1,4,1975.117676,1905.20205245405
cuda,1024,28712,1,0,1978.377197,7624.29223018139
cuda,1024,28712,1,1,1976.245361,7624.29223018139
cuda,1024,28712,1,2,1977.825562,7624.29223018139
cuda,1024,28712,1,3,1977.648682,7624.29223018139
cuda,1024,28712,1,4,1978.065674,7624.29223018139
cuda,4096,28712,1,0,1986.174927,30488.5814954793
cuda,4096,28712,1,1,1984.371704,30488.5814954793
cuda,4096,28712,1,2,1984.345215,30488.5814954793
cuda,4096,28712,1,3,1982.043335,30488.5814954793
cuda,4096,28712,1,4,1984.301880,30488.5814954793
cuda,16384,28712,1,0,6327.972656,121967.511502668
cuda,16384,28712,1,1,6338.365723,121967.511502668
cuda,16384,28712,1,2,6343.433594,121967.511502668
cuda,16384,28712,1,3,6349.355957,121967.511502668
cuda,16384,28712,1,4,6360.445801,121967.511502668
cuda,65536,28712,1,0,19930.748047,487823.799210666
cuda,65536,28712,1,1,20107.585938,487823.799210666
cuda,65536,28712,1,2,20301.593750,487823.799210666
cuda,65536,28712,1,3,20499.208984,487823.799210666
cuda,65536,28712,1,4,20701.197266,487823.799210666
