t,gt_x,gt_y,gt_z,est_x,est_y,est_z,gt_tx,gt_ty,gt_tz,est_tx,est_ty,est_tz
0.000000,0.878612,2.142470,0.947262,0.878612,2.142470,0.947262,-2.730387,1.143772,-0.408951,-2.730387,1.143772,-0.408951
0.005000,0.878658,2.142398,0.947252,0.878613,2.142463,0.947262,-2.729884,1.143749,-0.409509,-2.730178,1.143918,-0.408665
0.010000,0.878703,2.142317,0.947242,0.878615,2.142438,0.947263,-2.729579,1.143785,-0.409843,-2.730010,1.144103,-0.408385
0.015000,0.878746,2.142225,0.947230,0.878620,2.142388,0.947261,-2.729640,1.143838,-0.409808,-2.729996,1.144292,-0.408015
0.020000,0.878787,2.142125,0.947213,0.878627,2.142315,0.947252,-2.730014,1.143864,-0.409475,-2.730118,1.144386,-0.407663
0.025000,0.878826,2.142021,0.947195,0.878635,2.142222,0.947239,-2.730513,1.143902,-0.409002,-2.730324,1.144424,-0.407265
0.030000,0.878862,2.141919,0.947181,0.878644,2.142113,0.947225,-2.730939,1.143983,-0.408609,-2.730551,1.144498,-0.406863
0.035000,0.878896,2.141825,0.947171,0.878654,2.141996,0.947215,-2.731170,1.144091,-0.408423,-2.730733,1.144641,-0.406490
0.040000,0.878927,2.141743,0.947165,0.878665,2.141876,0.947209,-2.731157,1.144186,-0.408463,-2.730838,1.144826,-0.406148
0.045000,0.878958,2.141674,0.947159,0.878679,2.141755,0.947204,-2.730881,1.144238,-0.408713,-2.730820,1.145028,-0.405785
0.050000,0.878989,2.141612,0.947148,0.888066,2.135779,0.950875,-2.730485,1.144210,-0.409048,-2.737788,1.140159,-0.406539
0.055000,0.879017,2.141551,0.947135,0.888900,2.135155,0.951178,-2.730157,1.144134,-0.409325,-2.737620,1.140257,-0.406159
0.060000,0.879045,2.141483,0.947123,0.889737,2.134515,0.951479,-2.730035,1.144071,-0.409419,-2.737502,1.140337,-0.405729
0.065000,0.879072,2.141405,0.947114,0.890579,2.133854,0.951779,-2.730219,1.144077,-0.409257,-2.737498,1.140390,-0.405363
0.070000,0.879098,2.141317,0.947110,0.891424,2.133168,0.952084,-2.730610,1.144188,-0.408888,-2.737669,1.140494,-0.404975
0.075000,0.879124,2.141231,0.947108,0.892273,2.132464,0.952393,-2.731029,1.144316,-0.408500,-2.737907,1.140669,-0.404574
0.080000,0.879149,2.141160,0.947102,0.893126,2.131756,0.952698,-2.731178,1.144349,-0.408351,-2.738109,1.140798,-0.404201
0.085000,0.879174,2.141115,0.947091,0.893985,2.131059,0.952997,-2.730871,1.144235,-0.408647,-2.738071,1.140889,-0.403782
0.090000,0.879200,2.141091,0.947077,0.894848,2.130377,0.953288,-2.730199,1.143982,-0.409323,-2.737805,1.140896,-0.403471
0.095000,0.879225,2.141070,0.947065,0.895715,2.129696,0.953578,-2.729457,1.143729,-0.410075,-2.737383,1.140854,-0.403146
0.100000,0.879256,2.141018,0.947055,0.887667,2.133382,0.953140,-2.729083,1.143604,-0.410469,-2.734189,1.143164,-0.400320
0.105000,0.879283,2.140944,0.947052,0.888018,2.132884,0.953393,-2.729395,1.143654,-0.410169,-2.734158,1.143240,-0.399978
0.110000,0.879311,2.140846,0.947051,0.888374,2.132337,0.953649,-2.730376,1.143865,-0.409185,-2.734486,1.143359,-0.399521
0.115000,0.879338,2.140748,0.947049,0.888735,2.131763,0.953904,-2.731550,1.144106,-0.407981,-2.735094,1.143509,-0.399035
0.120000,0.879364,2.140675,0.947041,0.889098,2.131189,0.954153,-2.732245,1.144206,-0.407209,-2.735593,1.143624,-0.398484
0.125000,0.879386,2.140640,0.947030,0.889463,2.130636,0.954396,-2.732142,1.144111,-0.407229,-2.735722,1.143670,-0.397995
0.130000,0.879405,2.140638,0.947021,0.889829,2.130109,0.954635,-2.731371,1.143901,-0.407953,-2.735464,1.143691,-0.397576
0.135000,0.879420,2.140648,0.947019,0.890196,2.129592,0.954879,-2.730319,1.143716,-0.409012,-2.734992,1.143746,-0.397273
0.140000,0.879433,2.140649,0.947023,0.890563,2.129061,0.955130,-2.729415,1.143648,-0.409936,-2.734539,1.143904,-0.397018
0.145000,0.879446,2.140628,0.947028,0.890933,2.128497,0.955383,-2.729001,1.143672,-0.410356,-2.734273,1.144127,-0.396711
0.150000,0.879472,2.140568,0.947022,0.887974,2.138888,0.958084,-2.729171,1.143766,-0.410148,-2.731552,1.144200,-0.405145
0.155000,0.879490,2.140500,0.947019,0.888206,2.138738,0.958434,-2.729820,1.143918,-0.409478,-2.731789,1.144350,-0.404698
0.160000,0.879510,2.140426,0.947015,0.888444,2.138561,0.958782,-2.730654,1.144071,-0.408611,-2.732190,1.144473,-0.404223
0.165000,0.879530,2.140360,0.947011,0.888687,2.138373,0.959127,-2.731436,1.144187,-0.407862,-2.732567,1.144563,-0.403721
0.170000,0.879547,2.140310,0.947008,0.888932,2.138184,0.959470,-2.731901,1.144260,-0.407498,-2.732896,1.144637,-0.403385
0.175000,0.879561,2.140280,0.947012,0.889177,2.138000,0.959817,-2.731833,1.144311,-0.407632,-2.733000,1.144752,-0.403075
0.180000,0.879574,2.140271,0.947019,0.889424,2.137824,0.960170,-2.731322,1.144345,-0.408181,-2.732909,1.144958,-0.402768
0.185000,0.879586,2.140275,0.947024,0.889674,2.137653,0.960521,-2.730552,1.144304,-0.408930,-2.732662,1.145188,-0.402478
0.190000,0.879597,2.140284,0.947025,0.889927,2.137477,0.960867,-2.729756,1.144202,-0.409700,-2.732313,1.145342,-0.402101
0.195000,0.879607,2.140287,0.947023,0.890183,2.137286,0.961207,-2.729186,1.144090,-0.410297,-2.731998,1.145471,-0.401801
0.200000,0.879637,2.140248,0.947013,0.884088,2.130897,0.948426,-2.729015,1.143974,-0.410549,-2.732305,1.146222,-0.405912
0.205000,0.879651,2.140215,0.947009,0.884123,2.130454,0.948302,-2.729313,1.143953,-0.410413,-2.732329,1.146229,-0.405685
0.210000,0.879664,2.140171,0.947007,0.884160,2.129982,0.948177,-2.729893,1.144020,-0.409953,-2.732539,1.146292,-0.405420
0.215000,0.879674,2.140127,0.947008,0.884199,2.129490,0.948056,-2.730525,1.144132,-0.409346,-2.732842,1.146369,-0.405057
0.220000,0.879681,2.140089,0.947008,0.884238,2.128988,0.947935,-2.731045,1.144257,-0.408755,-2.733132,1.146495,-0.404593
0.225000,0.879687,2.140062,0.947007,0.884278,2.128483,0.947808,-2.731308,1.144325,-0.408360,-2.733359,1.146634,-0.404059
0.230000,0.879691,2.140052,0.947005,0.884320,2.127978,0.947681,-2.731267,1.144297,-0.408291,-2.733408,1.146739,-0.403518
0.235000,0.879694,2.140058,0.947003,0.884364,2.127477,0.947552,-2.731002,1.144189,-0.408510,-2.733327,1.146805,-0.403085
0.240000,0.879695,2.140077,0.947000,0.884410,2.126977,0.947420,-2.730566,1.144047,-0.408933,-2.733142,1.146833,-0.402708
0.245000,0.879694,2.140101,0.946999,0.884457,2.126472,0.947288,-2.730043,1.143908,-0.409449,-2.732905,1.146896,-0.402373
0.250000,0.879719,2.140079,0.946993,0.890281,2.139207,0.950284,-2.729518,1.143816,-0.409912,-2.730316,1.147042,-0.404846
0.255000,0.879723,2.140079,0.946997,0.890507,2.139076,0.950253,-2.729267,1.143799,-0.410119,-2.730145,1.147175,-0.404448
0.260000,0.879727,2.140066,0.946999,0.890736,2.138917,0.950219,-2.729374,1.143818,-0.410010,-2.730135,1.147300,-0.404043
0.265000,0.879731,2.140048,0.947000,0.890968,2.138733,0.950182,-2.729705,1.143869,-0.409739,-2.730264,1.147381,-0.403662
0.270000,0.879734,2.140028,0.947002,0.891203,2.138532,0.950144,-2.730105,1.143930,-0.409460,-2.730449,1.147492,-0.403334
0.275000,0.879736,2.140007,0.947006,0.891440,2.138317,0.950105,-2.730547,1.143993,-0.409154,-2.730641,1.147569,-0.403072
0.280000,0.879737,2.139984,0.947012,0.891679,2.138086,0.950067,-2.730943,1.144108,-0.408819,-2.730854,1.147667,-0.402765
0.285000,0.879735,2.139962,0.947018,0.891919,2.137836,0.950030,-2.731318,1.144215,-0.408450,-2.731056,1.147855,-0.402357
0.290000,0.879732,2.139949,0.947022,0.892161,2.137578,0.949989,-2.731539,1.144295,-0.408196,-2.731248,1.147950,-0.401948
0.295000,0.879728,2.139954,0.947026,0.892404,2.137318,0.949947,-2.731396,1.144336,-0.408266,-2.731308,1.148135,-0.401488
0.300000,0.879755,2.139922,0.947014,0.893418,2.139345,0.946253,-2.730826,1.144236,-0.408757,-2.728301,1.148501,-0.404099
0.305000,0.879754,2.139960,0.947013,0.893682,2.139169,0.946101,-2.729842,1.144062,-0.409673,-2.727955,1.148557,-0.403750
0.310000,0.879752,2.140001,0.947011,0.893948,2.138994,0.945949,-2.728823,1.143873,-0.410670,-2.727438,1.148714,-0.403376
0.315000,0.879752,2.140027,0.947009,0.894217,2.138796,0.945792,-2.728230,1.143744,-0.411304,-2.727051,1.148753,-0.403129
0.320000,0.879752,2.140026,0.947009,0.894490,2.138558,0.945637,-2.728261,1.143766,-0.411336,-2.726908,1.148882,-0.402797
0.325000,0.879753,2.140003,0.947009,0.894767,2.138276,0.945480,-2.728927,1.143866,-0.410767,-2.727114,1.148990,-0.402486
0.330000,0.879753,2.139971,0.947010,0.895047,2.137962,0.945322,-2.729829,1.144018,-0.409884,-2.727515,1.149049,-0.402109
0.335000,0.879753,2.139947,0.947008,0.895327,2.137633,0.945162,-2.730655,1.144167,-0.409058,-2.727941,1.149178,-0.401600
0.340000,0.879752,2.139943,0.947008,0.895611,2.137303,0.944998,-2.731126,1.144247,-0.408605,-2.728287,1.149259,-0.401198
0.345000,0.879749,2.139962,0.947013,0.895897,2.136982,0.944839,-2.731080,1.144248,-0.408675,-2.728384,1.149377,-0.400790
0.350000,0.879783,2.139915,0.947004,0.887006,2.139117,0.938987,-2.730601,1.144184,-0.409177,-2.726839,1.149438,-0.401925
0.355000,0.879783,2.139948,0.947012,0.887039,2.138869,0.938675,-2.729928,1.144113,-0.409912,-2.726587,1.149564,-0.401657
0.360000,0.879781,2.139985,0.947024,0.887073,2.138613,0.938366,-2.729188,1.144046,-0.410713,-2.726291,1.149735,-0.401409
0.365000,0.879777,2.140019,0.947036,0.887107,2.138343,0.938056,-2.728525,1.144021,-0.411378,-2.725997,1.149892,-0.401147
0.370000,0.879770,2.140041,0.947049,0.887143,2.138049,0.937748,-2.728175,1.144056,-0.411681,-2.725788,1.150115,-0.400766
0.375000,0.879761,2.140044,0.947059,0.887177,2.137722,0.937434,-2.728330,1.144128,-0.411486,-2.725785,1.150279,-0.400354
0.380000,0.879749,2.140031,0.947068,0.887211,2.137358,0.937116,-2.728915,1.144251,-0.410861,-2.725984,1.150405,-0.399894
0.385000,0.879736,2.140016,0.947075,0.887247,2.136968,0.936797,-2.729714,1.144376,-0.410022,-2.726350,1.150517,-0.399405
0.390000,0.879722,2.140013,0.947078,0.887284,2.136567,0.936472,-2.730340,1.144452,-0.409352,-2.726710,1.150576,-0.398909
0.395000,0.879706,2.140031,0.947083,0.887323,2.136166,0.936144,-2.730506,1.144473,-0.409139,-2.726909,1.150660,-0.398438
0.400000,0.879734,2.139984,0.947070,0.889712,2.138973,0.945093,-2.730097,1.144442,-0.409431,-2.727180,1.150443,-0.399899
0.405000,0.879726,2.140025,0.947077,0.889818,2.138686,0.945022,-2.729360,1.144386,-0.410106,-2.726928,1.150603,-0.399491
0.410000,0.879718,2.140068,0.947090,0.889927,2.138392,0.944955,-2.728572,1.144373,-0.410860,-2.726600,1.150792,-0.399141
0.415000,0.879710,2.140104,0.947102,0.890038,2.138080,0.944889,-2.728060,1.144393,-0.411393,-2.726342,1.151046,-0.398803
0.420000,0.879703,2.140127,0.947111,0.890152,2.137738,0.944818,-2.727945,1.144435,-0.411547,-2.726251,1.151204,-0.398510
0.425000,0.879697,2.140139,0.947118,0.890270,2.137366,0.944745,-2.728168,1.144511,-0.411360,-2.726310,1.151368,-0.398136
0.430000,0.879690,2.140145,0.947117,0.890390,2.136970,0.944664,-2.728643,1.144552,-0.410933,-2.726502,1.151476,-0.397780
0.435000,0.879683,2.140152,0.947112,0.890513,2.136553,0.944573,-2.729213,1.144545,-0.410387,-2.726726,1.151493,-0.397382
0.440000,0.879675,2.140166,0.947107,0.890638,2.136125,0.944480,-2.729676,1.144521,-0.409964,-2.726953,1.151483,-0.396967
0.445000,0.879665,2.140189,0.947106,0.890764,2.135688,0.944387,-2.729832,1.144501,-0.409816,-2.727078,1.151504,-0.396611
0.450000,0.879703,2.140123,0.947087,0.889540,2.138429,0.949840,-2.729718,1.144511,-0.409891,-2.729919,1.152137,-0.398539
0.455000,0.879702,2.140144,0.947085,0.889629,2.138091,0.949904,-2.729495,1.144486,-0.410100,-2.729887,1.152287,-0.398232
0.460000,0.879703,2.140171,0.947082,0.889720,2.137743,0.949965,-2.729185,1.144424,-0.410371,-2.729751,1.152370,-0.397785
0.465000,0.879703,2.140203,0.947078,0.889814,2.137386,0.950025,-2.728845,1.144348,-0.410660,-2.729625,1.152482,-0.397446
0.470000,0.879705,2.140235,0.947074,0.889911,2.137017,0.950083,-2.728616,1.144252,-0.410848,-2.729458,1.152552,-0.396982
