impl,M,T,workers,run_idx,wall_time_ms,checksum
mpi,4096,28712,1,0,45482.038802,30488.8157676748
mpi,4096,28712,1,1,45486.671769,30488.8157676748
mpi,4096,28712,1,2,45483.037300,30488.8157676748
mpi,4096,28712,1,3,45485.256953,30488.8157676748
mpi,4096,28712,1,4,45486.000660,30488.8157676748
mpi,4096,28712,2,0,22797.805172,30488.8157676748
mpi,4096,28712,2,1,22798.638138,30488.8157676748
mpi,4096,28712,2,2,22798.147833,30488.8157676748
mpi,4096,28712,2,3,22799.221795,30488.8157676748
mpi,4096,28712,2,4,22798.460080,30488.8157676748
mpi,4096,28712,4,0,11493.206346,30488.8157676748
mpi,4096,28712,4,1,11491.654721,30488.8157676748
mpi,4096,28712,4,2,11509.653876,30488.8157676748
mpi,4096,28712,4,3,11491.694715,30488.8157676748
mpi,4096,28712,4,4,11491.646197,30488.8157676748
mpi,4096,28712,8,0,10074.304965,30488.8157676748
mpi,4096,28712,8,1,10080.830324,30488.8157676748
mpi,4096,28712,8,2,10073.003548,30488.8157676748
mpi,4096,28712,8,3,10073.429733,30488.8157676748
mpi,4096,28712,8,4,10063.126660,30488.8157676748
mpi,4096,28712,16,0,5045.195230,30488.8157676748
mpi,4096,28712,16,1,5045.524955,30488.8157676748
mpi,4096,28712,16,2,5046.819148,30488.8157676748
mpi,4096,28712,16,3,5049.631120,30488.8157676748
mpi,4096,28712,16,4,5061.260891,30488.8157676748
mpi,4096,28712,32,0,2537.338391,30488.8157676748
mpi,4096,28712,32,1,2536.879976,30488.8157676748
mpi,4096,28712,32,2,2536.722028,30488.8157676748
mpi,4096,28712,32,3,2537.413394,30488.8157676748
mpi,4096,28712,32,4,2532.795863,30488.8157676748
mpi,4096,28712,64,0,1268.831906,30488.8157676748
mpi,4096,28712,64,1,1268.809687,30488.8157676748
mpi,4096,28712,64,2,1268.788490,30488.8157676748
mpi,4096,28712,64,3,1268.932899,30488.8157676748
mpi,4096,28712,64,4,1263.294795,30488.8157676748
