t,gt_x,gt_y,gt_z,est_x,est_y,est_z,gt_tx,gt_ty,gt_tz,est_tx,est_ty,est_tz
0.000000,0.878612,2.142470,0.947262,0.878612,2.142470,0.947262,-2.730387,1.143772,-0.408951,-2.730387,1.143772,-0.408951
0.005000,0.878658,2.142398,0.947252,0.878613,2.142463,0.947262,-2.729884,1.143749,-0.409509,-2.730178,1.143918,-0.408665
0.010000,0.878703,2.142317,0.947242,0.878615,2.142438,0.947263,-2.729579,1.143785,-0.409843,-2.730010,1.144103,-0.408385
0.015000,0.878746,2.142225,0.947230,0.878620,2.142388,0.947261,-2.729640,1.143838,-0.409808,-2.729996,1.144292,-0.408015
0.020000,0.878787,2.142125,0.947213,0.878627,2.142315,0.947252,-2.730014,1.143864,-0.409475,-2.730118,1.144386,-0.407663
0.025000,0.878826,2.142021,0.947195,0.878635,2.142222,0.947239,-2.730513,1.143902,-0.409002,-2.730324,1.144424,-0.407265
0.030000,0.878862,2.141919,0.947181,0.878644,2.142113,0.947225,-2.730939,1.143983,-0.408609,-2.730551,1.144498,-0.406863
0.035000,0.878896,2.141825,0.947171,0.878654,2.141996,0.947215,-2.731170,1.144091,-0.408423,-2.730733,1.144641,-0.406490
0.040000,0.878927,2.141743,0.947165,0.878665,2.141876,0.947209,-2.731157,1.144186,-0.408463,-2.730838,1.144826,-0.406148
0.045000,0.878958,2.141674,0.947159,0.878679,2.141755,0.947204,-2.730881,1.144238,-0.408713,-2.730820,1.145028,-0.405785
0.050000,0.878989,2.141612,0.947148,0.885164,2.152978,0.942107,-2.730485,1.144210,-0.409048,-2.728597,1.135125,-0.401610
0.055000,0.879017,2.141551,0.947135,0.885756,2.153817,0.941653,-2.730157,1.144134,-0.409325,-2.728430,1.135223,-0.401230
0.060000,0.879045,2.141483,0.947123,0.886353,2.154638,0.941197,-2.730035,1.144071,-0.409419,-2.728311,1.135303,-0.400800
0.065000,0.879072,2.141405,0.947114,0.886955,2.155433,0.940739,-2.730219,1.144077,-0.409257,-2.728307,1.135355,-0.400434
0.070000,0.879098,2.141317,0.947110,0.887562,2.156200,0.940286,-2.730610,1.144188,-0.408888,-2.728479,1.135460,-0.400046
0.075000,0.879124,2.141231,0.947108,0.888174,2.156946,0.939836,-2.731029,1.144316,-0.408500,-2.728716,1.135635,-0.399645
0.080000,0.879149,2.141160,0.947102,0.888792,2.157684,0.939383,-2.731178,1.144349,-0.408351,-2.728918,1.135764,-0.399272
0.085000,0.879174,2.141115,0.947091,0.889416,2.158430,0.938924,-2.730871,1.144235,-0.408647,-2.728880,1.135855,-0.398853
0.090000,0.879200,2.141091,0.947077,0.890046,2.159188,0.938457,-2.730199,1.143982,-0.409323,-2.728615,1.135862,-0.398542
0.095000,0.879225,2.141070,0.947065,0.890682,2.159944,0.937988,-2.729457,1.143729,-0.410075,-2.728192,1.135820,-0.398217
0.100000,0.879256,2.141018,0.947055,0.875898,2.133113,0.945242,-2.729083,1.143604,-0.410469,-2.729262,1.142061,-0.397338
0.105000,0.879283,2.140944,0.947052,0.875630,2.132191,0.945230,-2.729395,1.143654,-0.410169,-2.729230,1.142138,-0.396996
0.110000,0.879311,2.140846,0.947051,0.875368,2.131220,0.945221,-2.730376,1.143865,-0.409185,-2.729559,1.142257,-0.396538
0.115000,0.879338,2.140748,0.947049,0.875111,2.130219,0.945211,-2.731550,1.144106,-0.407981,-2.730166,1.142407,-0.396053
0.120000,0.879364,2.140675,0.947041,0.874857,2.129216,0.945195,-2.732245,1.144206,-0.407209,-2.730665,1.142522,-0.395502
0.125000,0.879386,2.140640,0.947030,0.874605,2.128233,0.945173,-2.732142,1.144111,-0.407229,-2.730794,1.142567,-0.395013
0.130000,0.879405,2.140638,0.947021,0.874354,2.127273,0.945148,-2.731371,1.143901,-0.407953,-2.730536,1.142588,-0.394594
0.135000,0.879420,2.140648,0.947019,0.874105,2.126323,0.945126,-2.730319,1.143716,-0.409012,-2.730065,1.142644,-0.394290
0.140000,0.879433,2.140649,0.947023,0.873856,2.125356,0.945113,-2.729415,1.143648,-0.409936,-2.729611,1.142801,-0.394036
0.145000,0.879446,2.140628,0.947028,0.873610,2.124353,0.945101,-2.729001,1.143672,-0.410356,-2.729346,1.143025,-0.393728
0.150000,0.879472,2.140568,0.947022,0.875378,2.146236,0.942024,-2.729171,1.143766,-0.410148,-2.728240,1.141020,-0.398233
0.155000,0.879490,2.140500,0.947019,0.875235,2.146154,0.941870,-2.729820,1.143918,-0.409478,-2.728477,1.141170,-0.397786
0.160000,0.879510,2.140426,0.947015,0.875098,2.146043,0.941712,-2.730654,1.144071,-0.408611,-2.728879,1.141292,-0.397311
0.165000,0.879530,2.140360,0.947011,0.874967,2.145918,0.941553,-2.731436,1.144187,-0.407862,-2.729256,1.141383,-0.396809
0.170000,0.879547,2.140310,0.947008,0.874839,2.145790,0.941391,-2.731901,1.144260,-0.407498,-2.729584,1.141456,-0.396474
0.175000,0.879561,2.140280,0.947012,0.874712,2.145665,0.941233,-2.731833,1.144311,-0.407632,-2.729688,1.141571,-0.396163
0.180000,0.879574,2.140271,0.947019,0.874588,2.145545,0.941081,-2.731322,1.144345,-0.408181,-2.729598,1.141777,-0.395856
0.185000,0.879586,2.140275,0.947024,0.874468,2.145428,0.940927,-2.730552,1.144304,-0.408930,-2.729350,1.142008,-0.395566
0.190000,0.879597,2.140284,0.947025,0.874353,2.145303,0.940768,-2.729756,1.144202,-0.409700,-2.729001,1.142161,-0.395189
0.195000,0.879607,2.140287,0.947023,0.874240,2.145161,0.940603,-2.729186,1.144090,-0.410297,-2.728687,1.142291,-0.394889
0.200000,0.879637,2.140248,0.947013,0.862271,2.150667,0.941802,-2.729015,1.143974,-0.410549,-2.727998,1.141034,-0.395581
0.205000,0.879651,2.140215,0.947009,0.861757,2.150667,0.941679,-2.729313,1.143953,-0.410413,-2.728022,1.141041,-0.395355
0.210000,0.879664,2.140171,0.947007,0.861245,2.150635,0.941555,-2.729893,1.144020,-0.409953,-2.728232,1.141104,-0.395089
0.215000,0.879674,2.140127,0.947008,0.860738,2.150580,0.941433,-2.730525,1.144132,-0.409346,-2.728536,1.141181,-0.394726
0.220000,0.879681,2.140089,0.947008,0.860232,2.150512,0.941312,-2.731045,1.144257,-0.408755,-2.728825,1.141307,-0.394262
0.225000,0.879687,2.140062,0.947007,0.859728,2.150436,0.941186,-2.731308,1.144325,-0.408360,-2.729052,1.141446,-0.393728
0.230000,0.879691,2.140052,0.947005,0.859228,2.150358,0.941059,-2.731267,1.144297,-0.408291,-2.729101,1.141551,-0.393187
0.235000,0.879694,2.140058,0.947003,0.858732,2.150281,0.940929,-2.731002,1.144189,-0.408510,-2.729021,1.141617,-0.392754
0.240000,0.879695,2.140077,0.947000,0.858239,2.150200,0.940797,-2.730566,1.144047,-0.408933,-2.728836,1.141645,-0.392377
0.245000,0.879694,2.140101,0.946999,0.857749,2.150113,0.940665,-2.730043,1.143908,-0.409449,-2.728598,1.141708,-0.392042
0.250000,0.879719,2.140079,0.946993,0.873421,2.147900,0.941150,-2.729518,1.143816,-0.409912,-2.725747,1.141274,-0.391582
0.255000,0.879723,2.140079,0.946997,0.873435,2.147696,0.941040,-2.729267,1.143799,-0.410119,-2.725576,1.141406,-0.391184
0.260000,0.879727,2.140066,0.946999,0.873454,2.147460,0.940927,-2.729374,1.143818,-0.410010,-2.725565,1.141532,-0.390779
0.265000,0.879731,2.140048,0.947000,0.873477,2.147195,0.940811,-2.729705,1.143869,-0.409739,-2.725694,1.141612,-0.390399
0.270000,0.879734,2.140028,0.947002,0.873505,2.146909,0.940693,-2.730105,1.143930,-0.409460,-2.725879,1.141724,-0.390071
0.275000,0.879736,2.140007,0.947006,0.873537,2.146604,0.940574,-2.730547,1.143993,-0.409154,-2.726071,1.141801,-0.389809
0.280000,0.879737,2.139984,0.947012,0.873573,2.146280,0.940455,-2.730943,1.144108,-0.408819,-2.726284,1.141898,-0.389502
0.285000,0.879735,2.139962,0.947018,0.873611,2.145933,0.940338,-2.731318,1.144215,-0.408450,-2.726487,1.142087,-0.389093
0.290000,0.879732,2.139949,0.947022,0.873653,2.145573,0.940216,-2.731539,1.144295,-0.408196,-2.726679,1.142181,-0.388685
0.295000,0.879728,2.139954,0.947026,0.873698,2.145207,0.940093,-2.731396,1.144336,-0.408266,-2.726738,1.142366,-0.388224
0.300000,0.879755,2.139922,0.947014,0.872287,2.157880,0.945866,-2.730826,1.144236,-0.408757,-2.729603,1.138943,-0.391590
0.305000,0.879754,2.139960,0.947013,0.872312,2.157928,0.945905,-2.729842,1.144062,-0.409673,-2.729258,1.138999,-0.391241
0.310000,0.879752,2.140001,0.947011,0.872340,2.157973,0.945945,-2.728823,1.143873,-0.410670,-2.728741,1.139156,-0.390867
0.315000,0.879752,2.140027,0.947009,0.872373,2.157994,0.945979,-2.728230,1.143744,-0.411304,-2.728353,1.139194,-0.390620
0.320000,0.879752,2.140026,0.947009,0.872414,2.157972,0.946014,-2.728261,1.143766,-0.411336,-2.728210,1.139323,-0.390288
0.325000,0.879753,2.140003,0.947009,0.872461,2.157904,0.946047,-2.728927,1.143866,-0.410767,-2.728416,1.139431,-0.389977
0.330000,0.879753,2.139971,0.947010,0.872513,2.157801,0.946079,-2.729829,1.144018,-0.409884,-2.728818,1.139491,-0.389600
0.335000,0.879753,2.139947,0.947008,0.872569,2.157680,0.946108,-2.730655,1.144167,-0.409058,-2.729244,1.139620,-0.389091
0.340000,0.879752,2.139943,0.947008,0.872630,2.157557,0.946133,-2.731126,1.144247,-0.408605,-2.729589,1.139700,-0.388689
0.345000,0.879749,2.139962,0.947013,0.872696,2.157440,0.946164,-2.731080,1.144248,-0.408675,-2.729687,1.139819,-0.388281
0.350000,0.879783,2.139915,0.947004,0.872037,2.157758,0.942586,-2.730601,1.144184,-0.409177,-2.729914,1.136632,-0.392627
0.355000,0.879783,2.139948,0.947012,0.872101,2.157678,0.942522,-2.729928,1.144113,-0.409912,-2.729663,1.136758,-0.392359
0.360000,0.879781,2.139985,0.947024,0.872169,2.157589,0.942461,-2.729188,1.144046,-0.410713,-2.729366,1.136929,-0.392111
0.365000,0.879777,2.140019,0.947036,0.872241,2.157484,0.942399,-2.728525,1.144021,-0.411378,-2.729073,1.137086,-0.391849
0.370000,0.879770,2.140041,0.947049,0.872317,2.157353,0.942337,-2.728175,1.144056,-0.411681,-2.728863,1.137310,-0.391469
0.375000,0.879761,2.140044,0.947059,0.872396,2.157189,0.942271,-2.728330,1.144128,-0.411486,-2.728860,1.137474,-0.391057
0.380000,0.879749,2.140031,0.947068,0.872477,2.156986,0.942200,-2.728915,1.144251,-0.410861,-2.729059,1.137599,-0.390596
0.385000,0.879736,2.140016,0.947075,0.872563,2.156756,0.942128,-2.729714,1.144376,-0.410022,-2.729425,1.137711,-0.390107
0.390000,0.879722,2.140013,0.947078,0.872654,2.156513,0.942049,-2.730340,1.144452,-0.409352,-2.729785,1.137770,-0.389612
0.395000,0.879706,2.140031,0.947083,0.872749,2.156269,0.941968,-2.730506,1.144473,-0.409139,-2.729984,1.137854,-0.389140
0.400000,0.879734,2.139984,0.947070,0.881325,2.157257,0.943864,-2.730097,1.144442,-0.409431,-2.728476,1.138608,-0.389742
0.405000,0.879726,2.140025,0.947077,0.881657,2.157058,0.943840,-2.729360,1.144386,-0.410106,-2.728225,1.138769,-0.389334
0.410000,0.879718,2.140068,0.947090,0.881995,2.156850,0.943821,-2.728572,1.144373,-0.410860,-2.727896,1.138958,-0.388985
0.415000,0.879710,2.140104,0.947102,0.882338,2.156621,0.943802,-2.728060,1.144393,-0.411393,-2.727638,1.139212,-0.388646
0.420000,0.879703,2.140127,0.947111,0.882688,2.156361,0.943778,-2.727945,1.144435,-0.411547,-2.727547,1.139369,-0.388353
0.425000,0.879697,2.140139,0.947118,0.883045,2.156069,0.943752,-2.728168,1.144511,-0.411360,-2.727607,1.139533,-0.387980
0.430000,0.879690,2.140145,0.947117,0.883407,2.155750,0.943716,-2.728643,1.144552,-0.410933,-2.727799,1.139642,-0.387624
0.435000,0.879683,2.140152,0.947112,0.883774,2.155410,0.943672,-2.729213,1.144545,-0.410387,-2.728022,1.139659,-0.387226
0.440000,0.879675,2.140166,0.947107,0.884146,2.155056,0.943624,-2.729676,1.144521,-0.409964,-2.728249,1.139649,-0.386810
0.445000,0.879665,2.140189,0.947106,0.884522,2.154692,0.943577,-2.729832,1.144501,-0.409816,-2.728375,1.139670,-0.386454
0.450000,0.879703,2.140123,0.947087,0.874297,2.146200,0.946047,-2.729718,1.144511,-0.409891,-2.730702,1.142214,-0.389721
0.455000,0.879702,2.140144,0.947085,0.874379,2.145624,0.946075,-2.729495,1.144486,-0.410100,-2.730671,1.142365,-0.389414
0.460000,0.879703,2.140171,0.947082,0.874466,2.145038,0.946099,-2.729185,1.144424,-0.410371,-2.730534,1.142448,-0.388967
0.465000,0.879703,2.140203,0.947078,0.874559,2.144440,0.946123,-2.728845,1.144348,-0.410660,-2.730409,1.142560,-0.388629
0.470000,0.879705,2.140235,0.947074,0.874658,2.143828,0.946143,-2.728616,1.144252,-0.410848,-2.730241,1.142630,-0.388164
