Hierarchy Level,Metric Name,Metric Value
0,Elapsed Time,27.364057
1,CPU Time,92.999427
2,Effective Time,92.999427
2,Spin Time,0.0
2,Overhead Time,0.0
1,Total Thread Count,20
1,Paused Time,0.0
0,Top Hotspots,
0,Function,Module,CPU Time,% of CPU Time(%)
0,ekf::matmul_AB_T,ekf_mpi_prof,38.630302,41.5
0,sincos,libm.so.6,14.540135,15.6
0,ekf::matmul,ekf_mpi_prof,14.129509,15.2
0,ekf::inv6,ekf_mpi_prof,5.110944,5.5
0,ekf::predict,ekf_mpi_prof,4.778377,5.1
0,[Others],N/A,15.810160,17.0
0,Effective Physical Core Utilization,14.6% (3.510 out of 24)
1,Effective Logical Core Utilization,7.3% (3.526 out of 48)
0,Collection and Platform Info,
1,Application Command Line,/opt/amazon/openmpi/bin/mpirun "-n" "4" "--bind-to" "none" "--oversubscribe" "./ekf_mpi_prof" "--data" "/shared/home/das1301/project-das1301/data/v101.bin" "--M" "2048" "--seed" "42" "--runs" "3" "--warmup" "1" "--quiet" "--out" "results/vtune_r4_sw_runs.csv" 
1,Operating System,6.1.166-197.305.amzn2023.x86_64 
1,Computer Name,general-dy-general-cr-2
1,Result Size,7908291
1,Collection start time,13:21:49 07/05/2026 UTC
1,Collection stop time,13:22:17 07/05/2026 UTC
1,Collector Type,"Driverless Perf per-process counting,User-mode sampling and tracing"
1,CPU,
2,Name,Intel(R) Xeon(R) Processor code named Cascadelake
2,Frequency,2999995910
2,Logical CPU Count,48
2,Cache Allocation Technology,
3,Level 2 capability,not detected
3,Level 3 capability,not detected
