impl,M,T,workers,run_idx,wall_time_ms,checksum
mpi,64,28712,1,0,724.894310,477.471008562066
mpi,64,28712,1,1,724.922600,477.471008562066
mpi,64,28712,1,2,724.818107,477.471008562066
mpi,64,28712,1,3,724.797770,477.471008562066
mpi,64,28712,1,4,724.810410,477.471008562066
mpi,128,28712,2,0,712.381400,953.750084457513
mpi,128,28712,2,1,712.366209,953.750084457513
mpi,128,28712,2,2,712.467592,953.750084457513
mpi,128,28712,2,3,712.786625,953.750084457513
mpi,128,28712,2,4,712.450413,953.750084457513
mpi,256,28712,4,0,725.080886,1906.96847845884
mpi,256,28712,4,1,724.934357,1906.96847845884
mpi,256,28712,4,2,725.033611,1906.96847845884
mpi,256,28712,4,3,725.055269,1906.96847845884
mpi,256,28712,4,4,725.075516,1906.96847845884
mpi,512,28712,8,0,1263.040294,3811.42442074841
mpi,512,28712,8,1,1261.810111,3811.42442074841
mpi,512,28712,8,2,1261.512992,3811.42442074841
mpi,512,28712,8,3,1261.655266,3811.42442074841
mpi,512,28712,8,4,1261.211290,3811.42442074841
mpi,1024,28712,16,0,1264.260711,7623.96418582435
mpi,1024,28712,16,1,1264.140108,7623.96418582435
mpi,1024,28712,16,2,1263.759762,7623.96418582435
mpi,1024,28712,16,3,1264.107154,7623.96418582435
mpi,1024,28712,16,4,1264.919721,7623.96418582435
mpi,2048,28712,32,0,1276.918908,15244.8434824185
mpi,2048,28712,32,1,1269.470531,15244.8434824185
mpi,2048,28712,32,2,1266.359750,15244.8434824185
mpi,2048,28712,32,3,1267.202316,15244.8434824185
mpi,2048,28712,32,4,1272.743782,15244.8434824185
mpi,4096,28712,64,0,1273.362032,30488.8157676748
mpi,4096,28712,64,1,1273.819559,30488.8157676748
mpi,4096,28712,64,2,1278.930417,30488.8157676748
mpi,4096,28712,64,3,1273.546934,30488.8157676748
mpi,4096,28712,64,4,1274.469804,30488.8157676748
