impl,M,T,workers,run_idx,wall_time_ms,checksum
openmp,1024,28712,1,0,11427.805800,7623.96418582435
openmp,1024,28712,1,1,11418.094149,7623.96418582435
openmp,1024,28712,1,2,11415.748982,7623.96418582435
openmp,1024,28712,1,3,11412.617665,7623.96418582435
openmp,1024,28712,1,4,11423.709937,7623.96418582435
openmp,1024,28712,2,0,5760.812139,7623.96418582435
openmp,1024,28712,2,1,5759.646173,7623.96418582435
openmp,1024,28712,2,2,5759.576448,7623.96418582435
openmp,1024,28712,2,3,5760.328464,7623.96418582435
openmp,1024,28712,2,4,5759.215802,7623.96418582435
openmp,1024,28712,4,0,2890.862754,7623.96418582435
openmp,1024,28712,4,1,2890.827316,7623.96418582435
openmp,1024,28712,4,2,2891.609350,7623.96418582435
openmp,1024,28712,4,3,2890.897624,7623.96418582435
openmp,1024,28712,4,4,2891.054949,7623.96418582435
openmp,1024,28712,8,0,1444.553923,7623.96418582435
openmp,1024,28712,8,1,1444.627180,7623.96418582435
openmp,1024,28712,8,2,1444.644615,7623.96418582435
openmp,1024,28712,8,3,1445.688602,7623.96418582435
openmp,1024,28712,8,4,1445.205510,7623.96418582435
openmp,1024,28712,16,0,726.506103,7623.96418582435
openmp,1024,28712,16,1,724.579555,7623.96418582435
openmp,1024,28712,16,2,726.025271,7623.96418582435
openmp,1024,28712,16,3,725.922668,7623.96418582435
openmp,1024,28712,16,4,726.948494,7623.96418582435
openmp,1024,28712,32,0,642.691292,7623.96418582435
openmp,1024,28712,32,1,645.285719,7623.96418582435
openmp,1024,28712,32,2,646.641971,7623.96418582435
openmp,1024,28712,32,3,645.668924,7623.96418582435
openmp,1024,28712,32,4,644.216302,7623.96418582435
