impl,M,T,workers,run_idx,wall_time_ms,checksum
openmp,32,28712,1,0,357.654966,238.759440010979
openmp,32,28712,1,1,357.754599,238.759440010979
openmp,32,28712,1,2,357.766263,238.759440010979
openmp,32,28712,1,3,357.711893,238.759440010979
openmp,32,28712,1,4,357.704645,238.759440010979
openmp,64,28712,2,0,359.089101,477.471008562066
openmp,64,28712,2,1,359.202722,477.471008562066
openmp,64,28712,2,2,359.061496,477.471008562066
openmp,64,28712,2,3,359.056119,477.471008562066
openmp,64,28712,2,4,359.038381,477.471008562066
openmp,128,28712,4,0,363.175652,953.750084457513
openmp,128,28712,4,1,363.130263,953.750084457513
openmp,128,28712,4,2,363.130094,953.750084457513
openmp,128,28712,4,3,363.102518,953.750084457513
openmp,128,28712,4,4,363.152243,953.750084457513
openmp,256,28712,8,0,364.073670,1906.96847845884
openmp,256,28712,8,1,364.172486,1906.96847845884
openmp,256,28712,8,2,364.032690,1906.96847845884
openmp,256,28712,8,3,364.071659,1906.96847845884
openmp,256,28712,8,4,364.632904,1906.96847845884
openmp,512,28712,16,0,361.867284,3811.42442074841
openmp,512,28712,16,1,361.492165,3811.42442074841
openmp,512,28712,16,2,361.815415,3811.42442074841
openmp,512,28712,16,3,361.625927,3811.42442074841
openmp,512,28712,16,4,361.754482,3811.42442074841
openmp,1024,28712,32,0,653.289853,7623.96418582435
openmp,1024,28712,32,1,654.023331,7623.96418582435
openmp,1024,28712,32,2,654.732387,7623.96418582435
openmp,1024,28712,32,3,654.042989,7623.96418582435
openmp,1024,28712,32,4,654.277900,7623.96418582435
