impl,M,T,workers,run_idx,wall_time_ms,checksum
serial,16,28712,1,0,180.703631,119.252609139074
serial,16,28712,1,1,180.727827,119.252609139074
serial,16,28712,1,2,181.065299,119.252609139074
serial,16,28712,1,3,183.551276,119.252609139074
serial,16,28712,1,4,180.748958,119.252609139074
serial,64,28712,1,0,714.086229,477.471008562066
serial,64,28712,1,1,713.435335,477.471008562066
serial,64,28712,1,2,714.037371,477.471008562066
serial,64,28712,1,3,710.688647,477.471008562066
serial,64,28712,1,4,713.955510,477.471008562066
serial,256,28712,1,0,2857.020064,1906.96847845884
serial,256,28712,1,1,2860.875163,1906.96847845884
serial,256,28712,1,2,2857.544920,1906.96847845884
serial,256,28712,1,3,2856.901609,1906.96847845884
serial,256,28712,1,4,2860.941567,1906.96847845884
serial,1024,28712,1,0,11423.951422,7623.96418582435
serial,1024,28712,1,1,11418.976174,7623.96418582435
serial,1024,28712,1,2,11407.903171,7623.96418582435
serial,1024,28712,1,3,11432.037920,7623.96418582435
serial,1024,28712,1,4,11448.577675,7623.96418582435
